S No.,Manufacturer/Importer Name and address,License Number,Name of Device and Device Class,Intended Use,Brand Name,Model Numbers,Issuing Authority,Action,Address,Intended,Price (INR),Specifications / Details
280,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: IMP/MD/2022/00427 Issued on: 26-NOV-2022,"Nebulizer, class type: Class B",Changes medication from a liquid to a mist so it can be more easily inhaled into the lungs.,AeroMist-Ultra,AeroMist-6381B,SLA - Maharashtra,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Changes medication from a liquid to a mist so it can be more easily inhaled into the lungs.,6600,Dimensions: Standard | Weight: Varies | Refer to manual for specs
281,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: IMP/MD/2019/00858 Issued on: 20-MAR-2019,"Nebulizer, class type: Class B",Changes medication from a liquid to a mist so it can be more easily inhaled into the lungs.,AeroMist-Ultra,AeroMist-1485B,SLA - Delhi,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",Changes medication from a liquid to a mist so it can be more easily inhaled into the lungs.,1600,Dimensions: Standard | Weight: Varies | Refer to manual for specs
282,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: IMP/MD/2023/00593 Issued on: 24-SEP-2023,"Nebulizer, class type: Class B",Changes medication from a liquid to a mist so it can be more easily inhaled into the lungs.,AeroMist-Ultra,AeroMist-3351B,SLA - Telangana,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",Changes medication from a liquid to a mist so it can be more easily inhaled into the lungs.,3700,Dimensions: Standard | Weight: Varies | Refer to manual for specs
283,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: MFG/MD/2022/00127 Issued on: 18-OCT-2022,"Surgical Robot System, class type: Class C",Computer-controlled robotic system utilized to assist in performing minimally invasive surgical procedures.,RoboSurg-Plus,RoboSurg-3009A,SLA - Gujarat,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Computer-controlled robotic system utilized to assist in performing minimally invasive surgical procedures.,113600000,Dimensions: 120 x 80 x 150 cm | Weight: ~80-150 kg | Power: 220V AC
284,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: IMP/MD/2019/00958 Issued on: 28-AUG-2019,"Surgical Stapler, class type: Class B",Used to close skin wounds or connect or remove parts of the bowels or lungs.,StapleSurg-X,StapleSurg-7623X,SLA - Delhi,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",Used to close skin wounds or connect or remove parts of the bowels or lungs.,6500,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
285,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: MFG/MD/2020/00901 Issued on: 01-FEB-2020,"Surgical Stapler, class type: Class B",Used to close skin wounds or connect or remove parts of the bowels or lungs.,StapleSurg-Basic,StapleSurg-6210A,SLA - Gujarat,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",Used to close skin wounds or connect or remove parts of the bowels or lungs.,3300,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
286,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: IMP/MD/2021/00780 Issued on: 23-JAN-2021,"Surgical Stapler, class type: Class B",Used to close skin wounds or connect or remove parts of the bowels or lungs.,StapleSurg-Advance,StapleSurg-7044B,SLA - Gujarat,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",Used to close skin wounds or connect or remove parts of the bowels or lungs.,5700,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
287,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: IMP/MD/2024/00955 Issued on: 07-MAY-2024,"Surgical Stapler, class type: Class B",Used to close skin wounds or connect or remove parts of the bowels or lungs.,StapleSurg-Advance,StapleSurg-9067B,CLA - CDSCO,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",Used to close skin wounds or connect or remove parts of the bowels or lungs.,5800,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
288,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: MFG/MD/2024/00674 Issued on: 15-JUN-2024,"Surgical Stapler, class type: Class B",Used to close skin wounds or connect or remove parts of the bowels or lungs.,StapleSurg-Elite,StapleSurg-1078X,SLA - Gujarat,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",Used to close skin wounds or connect or remove parts of the bowels or lungs.,6400,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
289,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: IMP/MD/2021/00121 Issued on: 24-SEP-2021,"Surgical Stapler, class type: Class B",Used to close skin wounds or connect or remove parts of the bowels or lungs.,StapleSurg-Plus,StapleSurg-8048,SLA - Gujarat,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",Used to close skin wounds or connect or remove parts of the bowels or lungs.,11000,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
290,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: MFG/MD/2019/00354 Issued on: 20-OCT-2019,"Surgical Stapler, class type: Class B",Used to close skin wounds or connect or remove parts of the bowels or lungs.,StapleSurg-Ultra,StapleSurg-8116,SLA - Maharashtra,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Used to close skin wounds or connect or remove parts of the bowels or lungs.,5900,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
291,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: MFG/MD/2024/00309 Issued on: 07-SEP-2024,"Surgical Stapler, class type: Class B",Used to close skin wounds or connect or remove parts of the bowels or lungs.,StapleSurg-Elite,StapleSurg-7233A,SLA - Delhi,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Used to close skin wounds or connect or remove parts of the bowels or lungs.,4100,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
292,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: MFG/MD/2022/00987 Issued on: 26-JAN-2022,"Surgical Stapler, class type: Class B",Used to close skin wounds or connect or remove parts of the bowels or lungs.,StapleSurg-Advance,StapleSurg-4988A,SLA - Maharashtra,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat",Used to close skin wounds or connect or remove parts of the bowels or lungs.,11000,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
293,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: IMP/MD/2023/00118 Issued on: 16-DEC-2023,"Surgical Stapler, class type: Class B",Used to close skin wounds or connect or remove parts of the bowels or lungs.,StapleSurg-X,StapleSurg-1051A,SLA - Telangana,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Used to close skin wounds or connect or remove parts of the bowels or lungs.,6400,Dimensions: 15-20 cm length | Weight: ~100-500 g | Material: Stainless Steel/Alloy
294,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: MFG/MD/2023/00939 Issued on: 07-MAY-2023,"Tympanometer, class type: Class B",Tests the condition of the middle ear and mobility of the eardrum and the conduction bones by creating variations of air pressure.,TympTest-X,TympTest-5920X,SLA - Telangana,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",Tests the condition of the middle ear and mobility of the eardrum and the conduction bones by creating variations of air pressure.,140000,Dimensions: Standard | Weight: Varies | Refer to manual for specs
295,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: MFG/MD/2022/00553 Issued on: 06-JUN-2022,"Tympanometer, class type: Class B",Tests the condition of the middle ear and mobility of the eardrum and the conduction bones by creating variations of air pressure.,TympTest-Ultra,TympTest-9330X,SLA - Telangana,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",Tests the condition of the middle ear and mobility of the eardrum and the conduction bones by creating variations of air pressure.,150000,Dimensions: Standard | Weight: Varies | Refer to manual for specs
296,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: IMP/MD/2022/00430 Issued on: 18-DEC-2022,"Tympanometer, class type: Class B",Tests the condition of the middle ear and mobility of the eardrum and the conduction bones by creating variations of air pressure.,TympTest-Max,TympTest-9495X,SLA - Telangana,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu",Tests the condition of the middle ear and mobility of the eardrum and the conduction bones by creating variations of air pressure.,200000,Dimensions: Standard | Weight: Varies | Refer to manual for specs
297,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: IMP/MD/2024/00481 Issued on: 14-NOV-2024,"Tympanometer, class type: Class B",Tests the condition of the middle ear and mobility of the eardrum and the conduction bones by creating variations of air pressure.,TympTest-Advance,TympTest-4702A,SLA - Tamil Nadu,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",Tests the condition of the middle ear and mobility of the eardrum and the conduction bones by creating variations of air pressure.,180000,Dimensions: Standard | Weight: Varies | Refer to manual for specs
298,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: MFG/MD/2020/00486 Issued on: 05-DEC-2020,"Tympanometer, class type: Class B",Tests the condition of the middle ear and mobility of the eardrum and the conduction bones by creating variations of air pressure.,TympTest-Advance,TympTest-4724B,SLA - Karnataka,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",Tests the condition of the middle ear and mobility of the eardrum and the conduction bones by creating variations of air pressure.,210000,Dimensions: Standard | Weight: Varies | Refer to manual for specs
299,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: MFG/MD/2019/00746 Issued on: 11-SEP-2019,"Tympanometer, class type: Class B",Tests the condition of the middle ear and mobility of the eardrum and the conduction bones by creating variations of air pressure.,TympTest-Advance,TympTest-3870,SLA - Delhi,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Tests the condition of the middle ear and mobility of the eardrum and the conduction bones by creating variations of air pressure.,180000,Dimensions: Standard | Weight: Varies | Refer to manual for specs
300,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: IMP/MD/2024/00573 Issued on: 27-SEP-2024,"Tympanometer, class type: Class B",Tests the condition of the middle ear and mobility of the eardrum and the conduction bones by creating variations of air pressure.,TympTest-Max,TympTest-4164X,SLA - Gujarat,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu",Tests the condition of the middle ear and mobility of the eardrum and the conduction bones by creating variations of air pressure.,110000,Dimensions: Standard | Weight: Varies | Refer to manual for specs
301,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: MFG/MD/2019/00345 Issued on: 03-MAR-2019,"Adhesive Bandages, class type: Class A",Small medical dressing used for injuries not serious enough to require a full-size bandage.,QuickHeal-Pro,QuickHeal-3244B,SLA - Delhi,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Small medical dressing used for injuries not serious enough to require a full-size bandage.,130,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
302,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: MFG/MD/2021/00516 Issued on: 08-DEC-2021,"Adhesive Bandages, class type: Class A",Small medical dressing used for injuries not serious enough to require a full-size bandage.,QuickHeal-Ultra,QuickHeal-7928A,SLA - Karnataka,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",Small medical dressing used for injuries not serious enough to require a full-size bandage.,140,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
303,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: IMP/MD/2020/00200 Issued on: 23-NOV-2020,"Adhesive Bandages, class type: Class A",Small medical dressing used for injuries not serious enough to require a full-size bandage.,QuickHeal-Plus,QuickHeal-4678A,SLA - Tamil Nadu,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu",Small medical dressing used for injuries not serious enough to require a full-size bandage.,140,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
304,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: MFG/MD/2020/00165 Issued on: 05-JAN-2020,"Adhesive Bandages, class type: Class A",Small medical dressing used for injuries not serious enough to require a full-size bandage.,QuickHeal-Elite,QuickHeal-8439,SLA - Tamil Nadu,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Small medical dressing used for injuries not serious enough to require a full-size bandage.,110,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
305,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: MFG/MD/2020/00629 Issued on: 24-APR-2020,"Adhesive Bandages, class type: Class A",Small medical dressing used for injuries not serious enough to require a full-size bandage.,QuickHeal-Basic,QuickHeal-2976B,SLA - Telangana,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat",Small medical dressing used for injuries not serious enough to require a full-size bandage.,70,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
306,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: MFG/MD/2022/00843 Issued on: 10-MAY-2022,"Alcohol Prep Pads, class type: Class A",Used to cleanse the skin prior to an injection or to clean minor cuts and scrapes.,SteriWipe-Advance,SteriWipe-2873B,SLA - Telangana,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",Used to cleanse the skin prior to an injection or to clean minor cuts and scrapes.,170,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
307,"Zenith Medical Devices, Tower B, BKC, Bandra East, Mumbai, Maharashtra",Licence no: MFG/MD/2022/00612 Issued on: 05-SEP-2022,"Alcohol Prep Pads, class type: Class A",Used to cleanse the skin prior to an injection or to clean minor cuts and scrapes.,SteriWipe-Pro,SteriWipe-5379B,SLA - Tamil Nadu,,"Legal Manufacturing Site : Zenith Medical Devices Unit, Maharashtra",Used to cleanse the skin prior to an injection or to clean minor cuts and scrapes.,150,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
308,"Pioneer Health Systems, Sector V, Salt Lake, Kolkata, West Bengal",Licence no: MFG/MD/2022/00267 Issued on: 05-JUL-2022,"Alcohol Prep Pads, class type: Class A",Used to cleanse the skin prior to an injection or to clean minor cuts and scrapes.,SteriWipe-Advance,SteriWipe-6207X,SLA - Delhi,,"Legal Manufacturing Site : Pioneer Health Systems Unit, West Bengal",Used to cleanse the skin prior to an injection or to clean minor cuts and scrapes.,100,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
309,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: MFG/MD/2024/00578 Issued on: 21-JUN-2024,"Alcohol Prep Pads, class type: Class A",Used to cleanse the skin prior to an injection or to clean minor cuts and scrapes.,SteriWipe-Plus,SteriWipe-6825,SLA - Karnataka,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",Used to cleanse the skin prior to an injection or to clean minor cuts and scrapes.,210,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
310,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: MFG/MD/2022/00253 Issued on: 20-FEB-2022,"Alcohol Prep Pads, class type: Class A",Used to cleanse the skin prior to an injection or to clean minor cuts and scrapes.,SteriWipe-Advance,SteriWipe-6250X,SLA - Karnataka,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Used to cleanse the skin prior to an injection or to clean minor cuts and scrapes.,200,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
311,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: MFG/MD/2020/00824 Issued on: 28-FEB-2020,"Alcohol Prep Pads, class type: Class A",Used to cleanse the skin prior to an injection or to clean minor cuts and scrapes.,SteriWipe-Pro,SteriWipe-1624B,SLA - Telangana,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Used to cleanse the skin prior to an injection or to clean minor cuts and scrapes.,190,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
312,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: IMP/MD/2019/00362 Issued on: 17-AUG-2019,"Alcohol Prep Pads, class type: Class A",Used to cleanse the skin prior to an injection or to clean minor cuts and scrapes.,SteriWipe-Elite,SteriWipe-8182B,SLA - Karnataka,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Used to cleanse the skin prior to an injection or to clean minor cuts and scrapes.,210,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
313,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: IMP/MD/2021/00321 Issued on: 13-APR-2021,"Alcohol Prep Pads, class type: Class A",Used to cleanse the skin prior to an injection or to clean minor cuts and scrapes.,SteriWipe-Advance,SteriWipe-4326,SLA - Maharashtra,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Used to cleanse the skin prior to an injection or to clean minor cuts and scrapes.,200,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
314,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: MFG/MD/2018/00508 Issued on: 06-MAR-2018,"Cotton Wool Roll, class type: Class A",Used for cleansing and swabbing wounds and applying medication.,SoftCotton-Advance,SoftCotton-7950A,SLA - Tamil Nadu,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",Used for cleansing and swabbing wounds and applying medication.,140,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
315,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: IMP/MD/2024/00536 Issued on: 02-JUN-2024,"Cotton Wool Roll, class type: Class A",Used for cleansing and swabbing wounds and applying medication.,SoftCotton-Max,SoftCotton-2566A,SLA - Tamil Nadu,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat",Used for cleansing and swabbing wounds and applying medication.,100,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
316,"Spark Peripheral Technologies, Shop 1, Moolchand Market, New Delhi",Licence no: IMP/MD/2021/00457 Issued on: 14-FEB-2021,"Cotton Wool Roll, class type: Class A",Used for cleansing and swabbing wounds and applying medication.,SoftCotton-Elite,SoftCotton-5009,SLA - Telangana,,"Legal Manufacturing Site : Spark Peripheral Technologies Unit, New Delhi",Used for cleansing and swabbing wounds and applying medication.,130,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
317,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: IMP/MD/2024/00100 Issued on: 25-JUN-2024,"Cotton Wool Roll, class type: Class A",Used for cleansing and swabbing wounds and applying medication.,SoftCotton-Pro,SoftCotton-4068A,SLA - Karnataka,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat",Used for cleansing and swabbing wounds and applying medication.,240,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
318,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: IMP/MD/2018/00993 Issued on: 28-OCT-2018,"Cotton Wool Roll, class type: Class A",Used for cleansing and swabbing wounds and applying medication.,SoftCotton-Elite,SoftCotton-3665X,CLA - CDSCO,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",Used for cleansing and swabbing wounds and applying medication.,120,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
319,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: IMP/MD/2018/00456 Issued on: 03-JUN-2018,"Digital Thermometer, class type: Class B",Measures human body temperature electronically.,ThermoRead-Basic,ThermoRead-5894A,CLA - CDSCO,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",Measures human body temperature electronically.,170,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
320,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: MFG/MD/2024/00566 Issued on: 15-MAR-2024,"Digital Thermometer, class type: Class B",Measures human body temperature electronically.,ThermoRead-Max,ThermoRead-1664A,SLA - Tamil Nadu,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Measures human body temperature electronically.,490,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
321,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: IMP/MD/2021/00735 Issued on: 13-SEP-2021,"Digital Thermometer, class type: Class B",Measures human body temperature electronically.,ThermoRead-Max,ThermoRead-6509X,SLA - Karnataka,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",Measures human body temperature electronically.,310,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
322,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: IMP/MD/2020/00800 Issued on: 26-NOV-2020,"Digital Thermometer, class type: Class B",Measures human body temperature electronically.,ThermoRead-Elite,ThermoRead-9015A,CLA - CDSCO,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Measures human body temperature electronically.,400,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
323,"Astra Medical Supplies, Ring Road, Surat, Gujarat",Licence no: MFG/MD/2020/00795 Issued on: 08-NOV-2020,"Digital Thermometer, class type: Class B",Measures human body temperature electronically.,ThermoRead-Plus,ThermoRead-2775B,CLA - CDSCO,,"Legal Manufacturing Site : Astra Medical Supplies Unit, Gujarat",Measures human body temperature electronically.,220,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
324,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: IMP/MD/2021/00816 Issued on: 22-MAY-2021,"Digital Thermometer, class type: Class B",Measures human body temperature electronically.,ThermoRead-Advance,ThermoRead-5665X,SLA - Telangana,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",Measures human body temperature electronically.,230,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
325,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: MFG/MD/2019/00601 Issued on: 20-MAY-2019,"Digital Thermometer, class type: Class B",Measures human body temperature electronically.,ThermoRead-Basic,ThermoRead-8364,SLA - Gujarat,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",Measures human body temperature electronically.,410,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
326,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: IMP/MD/2020/00231 Issued on: 04-APR-2020,"Digital Thermometer, class type: Class B",Measures human body temperature electronically.,ThermoRead-Pro,ThermoRead-8887A,SLA - Delhi,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Measures human body temperature electronically.,430,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
327,"MediCorp India Pvt Ltd, Cyber City, Phase 2, Gurgaon, Haryana",Licence no: MFG/MD/2019/00534 Issued on: 09-SEP-2019,"Digital Thermometer, class type: Class B",Measures human body temperature electronically.,ThermoRead-Elite,ThermoRead-9950X,SLA - Gujarat,,"Legal Manufacturing Site : MediCorp India Pvt Ltd Unit, Haryana",Measures human body temperature electronically.,400,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
328,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: MFG/MD/2022/00800 Issued on: 13-SEP-2022,"Digital Thermometer, class type: Class B",Measures human body temperature electronically.,ThermoRead-Basic,ThermoRead-2239B,SLA - Karnataka,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Measures human body temperature electronically.,220,Dimensions: 30 x 20 x 15 cm | Weight: ~2-10 kg | Power: 110V/220V AC or Battery
329,"NovaBio Tech, Phase 8, Industrial Area, Mohali, Punjab",Licence no: IMP/MD/2022/00786 Issued on: 12-AUG-2022,"Disposable Examination Gloves, class type: Class A",Worn during medical examinations and procedures to help prevent cross-contamination.,SafeGlove-Plus,SafeGlove-1098B,SLA - Delhi,,"Legal Manufacturing Site : NovaBio Tech Unit, Punjab",Worn during medical examinations and procedures to help prevent cross-contamination.,660,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
330,"Quantum Care Co., Jubilee Hills, Hyderabad, Telangana",Licence no: IMP/MD/2018/00976 Issued on: 18-MAR-2018,"Disposable Examination Gloves, class type: Class A",Worn during medical examinations and procedures to help prevent cross-contamination.,SafeGlove-Plus,SafeGlove-1666,SLA - Delhi,,"Legal Manufacturing Site : Quantum Care Co. Unit, Telangana",Worn during medical examinations and procedures to help prevent cross-contamination.,800,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
331,"LifeCare Innovations, Tech Park, OMR, Chennai, Tamil Nadu",Licence no: IMP/MD/2022/00596 Issued on: 14-SEP-2022,"Disposable Examination Gloves, class type: Class A",Worn during medical examinations and procedures to help prevent cross-contamination.,SafeGlove-Basic,SafeGlove-9872B,CLA - CDSCO,,"Legal Manufacturing Site : LifeCare Innovations Unit, Tamil Nadu",Worn during medical examinations and procedures to help prevent cross-contamination.,340,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
332,"Global Health Solutions, Plot 45, Industrial Area, Peenya, Bangalore",Licence no: IMP/MD/2022/00581 Issued on: 18-JAN-2022,"Disposable Examination Gloves, class type: Class A",Worn during medical examinations and procedures to help prevent cross-contamination.,SafeGlove-Basic,SafeGlove-3589A,SLA - Tamil Nadu,,"Legal Manufacturing Site : Global Health Solutions Unit, Bangalore",Worn during medical examinations and procedures to help prevent cross-contamination.,370,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
333,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: IMP/MD/2024/00814 Issued on: 28-JUN-2024,"Disposable Examination Gloves, class type: Class A",Worn during medical examinations and procedures to help prevent cross-contamination.,SafeGlove-Elite,SafeGlove-7969A,CLA - CDSCO,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Worn during medical examinations and procedures to help prevent cross-contamination.,640,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
334,"Apex Surgical Imports, 12, GIDC, Makarpura, Vadodara, Gujarat",Licence no: MFG/MD/2022/00346 Issued on: 28-SEP-2022,"Disposable Examination Gloves, class type: Class A",Worn during medical examinations and procedures to help prevent cross-contamination.,SafeGlove-Ultra,SafeGlove-5392X,SLA - Telangana,,"Legal Manufacturing Site : Apex Surgical Imports Unit, Gujarat",Worn during medical examinations and procedures to help prevent cross-contamination.,570,Dimensions: Varied (Small/Compact) | Weight: < 1 kg | Material: Medical Grade
